Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
300,0.098,0.084,-0.003,0.075
301,0.097,0.083,-0.004,0.078
302,0.102,0.088,-0.004,0.077
303,0.102,0.089,-0.001,0.082
304,0.104,0.088,0.002,0.077
305,0.093,0.086,0.003,0.082
306,0.093,0.084,0.001,0.079
307,0.093,0.087,-0.001,0.08
308,0.099,0.09,-0.002,0.077
309,0.1,0.089,-0.002,0.082
310,0.095,0.088,-0.001,0.077
311,0.101,0.084,0,0.073
312,0.105,0.085,0,0.068
313,0.114,0.086,0,0.074
314,0.115,0.09,0,0.079
315,0.118,0.093,0,0.08
316,0.121,0.091,0,0.079
317,0.123,0.092,0,0.078
318,0.131,0.089,0.001,0.076
319,0.148,0.095,0,0.071
320,0.16,0.092,0,0.076
321,0.176,0.094,-0.001,0.083
322,0.192,0.099,0,0.088
323,0.219,0.102,-0.002,0.081
324,0.245,0.101,0,0.075
325,0.274,0.09,0,0.074
326,0.306,0.089,0.001,0.075
327,0.344,0.087,-0.001,0.078
328,0.39,0.09,0,0.076
329,0.447,0.088,0,0.079
330,0.518,0.089,0,0.077
331,0.595,0.087,0,0.078
332,0.677,0.09,-0.001,0.074
333,0.771,0.09,0,0.075
334,0.872,0.091,0,0.076
335,0.984,0.09,0,0.077
336,1.117,0.093,0,0.076
337,1.271,0.092,0,0.072
338,1.45,0.094,-0.001,0.071
339,1.637,0.092,-0.001,0.073
340,1.841,0.097,0,0.078
341,2.043,0.097,0.001,0.078
342,2.266,0.096,0.002,0.077
343,2.512,0.092,0.001,0.079
344,2.792,0.091,0.001,0.077
345,3.08,0.094,0,0.077
346,3.387,0.096,0.001,0.074
347,3.733,0.095,0.001,0.076
348,4.086,0.094,0.001,0.078
349,4.46,0.094,0,0.078
350,4.838,0.096,0.001,0.079
351,5.265,0.095,0.001,0.078
352,5.715,0.094,0.001,0.08
353,6.158,0.095,0,0.079
354,6.624,0.094,0,0.08
355,7.087,0.096,0,0.079
356,7.602,0.095,0,0.082
357,8.099,0.097,0,0.081
358,8.635,0.098,0,0.082
359,9.232,0.097,0,0.082
360,9.825,0.094,-0.001,0.083
361,10.462,0.093,0,0.082
362,11.075,0.092,0,0.083
363,11.742,0.092,0.001,0.083
364,12.392,0.094,0,0.084
365,13.089,0.097,0,0.082
366,13.806,0.098,0,0.086
367,14.567,0.097,0,0.087
368,15.38,0.093,0,0.089
369,16.123,0.093,0,0.086
370,16.966,0.093,0,0.083
371,17.732,0.097,0,0.083
372,18.741,0.096,0,0.087
373,19.656,0.097,0.001,0.092
374,20.584,0.093,0.001,0.094
375,21.391,0.095,0.001,0.094
376,22.23,0.096,0,0.095
377,23.107,0.097,0,0.096
378,23.909,0.096,0,0.099
379,24.655,0.096,0,0.101
380,25.371,0.096,0,0.102
381,26.121,0.097,0,0.103
382,26.839,0.096,0,0.103
383,27.492,0.095,-0.001,0.104
384,28.155,0.095,0,0.106
385,28.77,0.096,0,0.108
386,29.453,0.097,0,0.109
387,30.078,0.098,0,0.11
388,30.754,0.097,0,0.111
389,31.38,0.096,0,0.112
390,32.075,0.095,0,0.111
391,32.809,0.096,0,0.111
392,33.547,0.097,0,0.112
393,34.333,0.097,-0.001,0.113
394,35.193,0.097,-0.001,0.113
395,36.179,0.096,-0.001,0.114
396,37.139,0.096,0,0.113
397,38.155,0.095,0,0.115
398,39.236,0.095,0,0.116
399,40.401,0.095,-0.001,0.117
400,41.581,0.096,-0.001,0.118
401,42.716,0.098,-0.001,0.118
402,43.909,0.098,0,0.119
403,45.072,0.096,-0.001,0.119
404,46.271,0.096,0,0.119
405,47.416,0.096,0,0.12
406,48.568,0.097,0,0.121
407,49.686,0.096,-0.001,0.122
408,50.75,0.098,-0.001,0.123
409,51.702,0.098,-0.001,0.124
410,52.558,0.098,-0.001,0.124
411,53.31,0.096,-0.001,0.126
412,53.949,0.095,0,0.125
413,54.466,0.095,0,0.126
414,54.814,0.095,0,0.126
415,55.097,0.096,0,0.127
416,55.306,0.096,-0.001,0.127
417,55.531,0.099,0,0.126
418,55.679,0.099,0,0.125
419,55.732,0.099,0,0.127
420,55.817,0.099,0,0.129
421,55.828,0.099,0,0.132
422,55.894,0.101,0,0.133
423,55.857,0.1,-0.001,0.134
424,55.892,0.099,0,0.136
425,55.887,0.096,-0.001,0.136
426,55.935,0.095,-0.001,0.137
427,56.041,0.096,-0.001,0.138
428,56.221,0.097,0,0.138
429,56.455,0.096,0.001,0.14
430,56.723,0.095,0,0.138
431,57.08,0.096,-0.001,0.139
432,57.48,0.096,0,0.139
433,58.004,0.098,0,0.141
434,58.598,0.097,0,0.142
435,59.275,0.098,-0.001,0.142
436,59.931,0.097,0,0.144
437,60.659,0.097,0,0.145
438,61.464,0.096,0,0.145
439,62.375,0.096,0,0.145
440,63.327,0.097,0,0.145
441,64.312,0.099,0,0.145
442,65.329,0.099,0,0.145
443,66.356,0.099,0,0.147
444,67.433,0.097,0,0.149
445,68.532,0.097,0,0.15
446,69.66,0.096,0,0.148
447,70.79,0.097,-0.001,0.149
448,71.875,0.096,-0.001,0.15
449,72.891,0.098,0,0.152
450,73.861,0.098,0,0.153
451,74.75,0.099,0,0.153
452,75.636,0.097,0,0.154
453,76.429,0.097,0,0.153
454,77.147,0.097,0,0.154
455,77.711,0.098,0,0.153
456,78.149,0.097,0,0.153
457,78.527,0.097,-0.001,0.154
458,78.802,0.095,0,0.156
459,78.972,0.096,0,0.158
460,79.041,0.095,0,0.16
461,79.022,0.095,0,0.162
462,78.925,0.096,0,0.161
463,78.72,0.096,0,0.162
464,78.449,0.097,0,0.161
465,78.163,0.098,-0.001,0.162
466,77.805,0.099,-0.001,0.163
467,77.407,0.098,-0.001,0.164
468,76.902,0.098,-0.001,0.165
469,76.372,0.098,0,0.165
470,75.862,0.098,0,0.165
471,75.357,0.098,-0.001,0.164
472,74.927,0.099,-0.001,0.165
473,74.444,0.099,-0.001,0.166
474,73.953,0.099,-0.001,0.168
475,73.503,0.097,-0.001,0.167
476,73.083,0.096,-0.001,0.167
477,72.719,0.096,-0.001,0.166
478,72.412,0.097,-0.001,0.167
479,72.155,0.098,-0.001,0.168
480,71.981,0.098,-0.001,0.168
481,71.811,0.097,0,0.169
482,71.667,0.096,0,0.169
483,71.569,0.096,-0.001,0.17
484,71.516,0.096,-0.001,0.17
485,71.553,0.096,0,0.17
486,71.623,0.096,0,0.17
487,71.78,0.097,0,0.17
488,71.981,0.097,0,0.17
489,72.249,0.097,0,0.17
490,72.545,0.097,0,0.171
491,72.897,0.096,0,0.171
492,73.343,0.095,0,0.172
493,73.737,0.095,0,0.172
494,74.236,0.097,0,0.173
495,74.723,0.097,0,0.173
496,75.323,0.098,-0.001,0.172
497,75.977,0.098,-0.001,0.173
498,76.664,0.098,0,0.174
499,77.352,0.097,0,0.175
500,77.98,0.098,0,0.175
501,78.621,0.101,-0.001,0.175
502,79.353,0.11,-0.001,0.175
503,80.118,0.126,-0.001,0.174
504,80.934,0.156,0,0.174
505,81.663,0.209,-0.001,0.174
506,82.448,0.304,-0.001,0.175
507,83.193,0.464,-0.001,0.176
508,83.956,0.722,-0.001,0.177
509,84.67,1.098,-0.001,0.176
510,85.355,1.624,0,0.177
511,86.009,2.331,0,0.177
512,86.639,3.223,0,0.179
513,87.232,4.327,0,0.177
514,87.827,5.619,0,0.176
515,88.324,7.067,0,0.175
516,88.753,8.618,0,0.177
517,89.072,10.284,0,0.178
518,89.373,12.114,0,0.179
519,89.666,14.106,0,0.178
520,89.873,16.267,0,0.179
521,90.018,18.549,0,0.179
